N1.AVG_Signal	N2.AVG_Signal	CQ1.AVG_Signal	CQ2.AVG_Signal	0.1%1.AVG_Signal	0.1%2.AVG_Signal
206.6141	203.4636	197.7553	189.4171	172.4899	185.5045
849.5168	849.9112	527.8427	536.0257	692.527	644.7491
2009.861	1814.206	709.9944	832.7416	1249.094	1245.433
173.0088	192.9863	195.5642	201.1527	213.0355	215.9578
107.1043	107.8217	112.1435	102.5124	101.0128	98.86279
197.8648	179.0129	194.2678	191.8643	174.8409	162.4047
132.2608	124.98	125.1048	132.0905	134.0223	123.8272
130.7323	141.6951	128.0528	128.1524	122.4601	129.8053
115.2598	118.3554	135.9813	142.7318	146.7261	130.4304
6273.029	6148.198	4924.609	4691.252	4834.345	5062.314
116.7069	103.9461	115.1654	122.2922	111.7805	108.404
4471.855	4533.707	3840.017	3424.034	3879.76	3954.518
162.1233	180.232	223.5801	179.5319	147.3282	152.7009
170.4416	169.8379	166.661	152.952	163.1898	160.5088
214.1842	235.3304	206.6427	193.3401	212.3876	197.3614
169.0834	180.4219	180.2564	180.3597	159.4018	157.8659
168.9514	151.01	147.3461	169.9687	138.9161	159.6163
143.5815	129.9676	122.6759	118.3987	118.0183	120.5936
114.9811	142.4565	130.3355	125.7233	122.829	111.2195
550.6337	575.7887	378.9367	455.1335	595.6429	613.1913
420.9316	412.8369	517.7856	336.9556	326.7044	349.4763
185.7441	174.7188	154.4297	180.3393	171.9798	160.2768
1446.186	1402.723	559.9556	558.6417	799.7238	802.3884
161.9421	142.1545	136.6592	147.3841	140.366	140.6958
541.7314	608.9032	750.3185	704.242	546.9584	568.8536
138.1448	141.7079	132.9167	155.6258	116.0732	109.0199
148.6844	155.0108	170.097	146.7371	151.2646	152.131
9298.809	9073.945	11908.46	11106.13	14726.98	15330.14
170.1134	166.9322	98.96162	116.1095	114.0898	122.4279
124.3867	121.0202	128.4047	129.7248	132.1625	131.9044
237.621	246.2811	222.5803	217.7629	214.9917	229.8365
144.4966	172.2923	150.7829	140.2954	145.1799	142.8414
3005.317	2946.573	1953.099	2292.675	1871.148	1928.592
33629.21	32774.79	30785.1	28670.01	33860.87	32461.79
2777.125	2654.081	1548.292	1780.235	1288.447	1259.857
5049.763	5162.076	6181.52	5260.079	3131.447	2778.143
98.0069	91.44451	107.8198	104.3288	83.01738	85.18812
145.0711	131.4697	154.0961	140.6243	133.7663	139.9541
130.6148	137.13	132.4868	124.9654	117.1365	121.0018
58765.64	59267.97	54126.98	59270.66	56929.43	51039.11
